PQ,K,Quantization_time,Total_time
1, 100,  225.320068, 6506.273926
1, 100,  210.125000, 6510.523926
1, 100,  196.057129, 6521.467041
1, 100,  100.031006, 6537.436035
1, 100,  96.492188, 6545.357178
1, 100,  90.808105, 6571.947998
1, 100,  168.861084, 6595.318115
1, 100,  259.983887, 6640.107910
1, 100,  180.932861, 6664.515869
1, 100,  210.374023, 6704.250977
1, 100,  237.934082, 6711.135986
1, 100,  139.023926, 6720.149902
1, 100,  125.476074, 6732.916992
1, 100,  215.815918, 6742.111816
1, 100,  132.509033, 6744.576172
1, 100,  99.444092, 6745.212891
1, 100,  100.013184, 6770.968018
1, 100,  218.417969, 6774.378906
1, 100,  153.870850, 6782.184814
1, 100,  77.698975, 6804.769775
1, 100,  216.659912, 6807.593018
1, 100,  152.509033, 6815.237061
1, 100,  180.939941, 6818.316895
1, 100,  96.066895, 6822.930908
1, 100,  185.505127, 6848.470215
1, 100,  226.359131, 6873.589111
1, 100,  265.906982, 6876.348877
1, 100,  241.489990, 6898.791992
1, 100,  136.194092, 6910.851074
1, 100,  198.840820, 6924.625000
1, 100,  101.312988, 6947.723877
1, 100,  229.680908, 6958.086914
1, 100,  219.262939, 6996.398926
1, 100,  196.804932, 7059.639893
1, 100,  232.883057, 7063.625000
1, 100,  251.356934, 7090.326904
1, 100,  98.032959, 7124.843018
1, 100,  191.192871, 7148.938965
1, 100,  29.353027, 6620.742920
1, 100,  28.912109, 6638.924072
1, 100,  29.222900, 6650.061035
1, 100,  29.113037, 6663.491943
1, 100,  28.812012, 6679.214111
1, 100,  29.500000, 6684.828125
1, 100,  29.082031, 6694.046143
1, 100,  53.184082, 6702.291016
1, 100,  28.875977, 6717.846924
1, 100,  37.476074, 6720.615967
1, 100,  85.444824, 7215.038818
1, 100,  64.974854, 11422.945068
1, 100,  70.491943, 12630.815918
1, 100,  100.287842, 12774.641846
1, 100,  128.837891, 13252.204834
1, 100,  100.246094, 13586.723145
1, 100,  42.447998, 13683.016113
1, 100,  53.341064, 13711.450928
1, 100,  69.312012, 15259.219971
1, 100,  39.244873, 15497.029053
1, 100,  54.026855, 15517.942871
